NovoSeven;Eptacogum alfa (activatum). Czynnik VII krzepnięcia krwi, rekombinowany, aktywowany;Ludzki;;;1 mg (50 000 j.m.);Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;Factor VII coagulationis humanus 1 mg (50Kj.m.)
Zyrtec;Cetirizini dihydrochloridum;Ludzki;;;1 mg/ml;Roztwór doustny;Cetirizini dihydrochloridum 5 mg
Abaktal;Pefloxacinum;Ludzki;;;80 mg/ml;Roztwór do infuzji;Pefloxacini mesylas 400 mg
Bromocorn;Bromocriptinum;Ludzki;;;2,5 mg;Tabletki;Bromocriptini mesylas 2.87 mg
ABE;Acidum lacticum + Acidum salicylicum;Ludzki;;;(89 mg + 89 mg)/g;Płyn na skórę;Acidum lacticum 8,900 g/100 g + Acidum salicylicum 8,900 g/100 g
Detimedac 200 mg;Dacarbazinum;Ludzki;;;200 mg;Proszek do sporządzania roztworu do wstrzykiwań lub infuzji;Dacarbazinum 200 mg
Acard;Acidum acetylsalicylicum;Ludzki;;;75 mg;Tabletki dojelitowe;Acidum acetylsalicylicum 75 mg
ACC mini;Acetylcysteinum;Ludzki;;;100 mg/sasz.;Proszek do sporządzania roztworu;Acetylcysteinum 100 mg
ACC mini;Acetylcysteinum;Ludzki;;;100 mg;Tabletki musujące;Acetylcysteinum 100 mg
ACC;Acetylcysteinum;Ludzki;;;200 mg;Proszek do sporządzania roztworu;Acetylcysteinum 200 mg
ACC optima;Acetylcysteinum;Ludzki;;;600 mg;Tabletki musujące;Acetylcysteinum 600 mg
Acecor;Acebutololum;Ludzki;;;400 mg;Tabletki powlekane;Acebutololi hydrochloridum 444 mg
Acenocumarol WZF;Acenocoumarolum;Ludzki;;;4 mg;Tabletki;Acenocoumarolum 4 mg
Acenol;Paracetamolum;Ludzki;;;300 mg;Tabletki;Paracetamolum 300 mg
Acenol Forte;Paracetamolum;Ludzki;;;500 mg;Tabletki;Paracetamolum
Acerin;Acidum salicylicum + Acidum lacticum;Ludzki;;;(195 mg + 98 mg)/g;Płyn do stosowania na skórę;Acidum lacticum 0.98 g + Acidum salicylicum 1.95 g
Acesan;Acidum acetylsalicylicum;Ludzki;;;30 mg;Tabletki;Acidum acetylsalicylicum 30 mg
Acesan;Acidum acetylsalicylicum;Ludzki;;;75 mg;Tabletki;Acidum acetylsalicylicum do 1 ml
Acidum folicum Richter;Acidum folicum;Ludzki;;;5 mg;Tabletki;Acidum folicum 5 mg
Acidum folicum Richter;Acidum folicum;Ludzki;;;15 mg;Tabletki;Acidum folicum 15 mg
Aclotin;Ticlopidini hydrochloridum;Ludzki;;;250 mg;Tabletki powlekane;Ticlopidini hydrochloridum 250 mg
Telux;Imatinibum;Ludzki;;;100 mg;Kapsułki twarde;Imatinibum 100 mg
Acodin 150 Junior;Dexpanthenolum + Dextromethorphani hydrobromidum;Ludzki;Acodin 150;;(50 mg + 7,5 mg)/5 ml;Syrop;Dextromethorphani hydrobromidum 0.15 g + Dexpanthenolum 1 g
Acodin Duo;Dexpanthenolum + Dextromethorphani hydrobromidum;Ludzki;Acodin 300;;(50 mg + 15 mg)/5 ml;Syrop;Dexpanthenolum 50 mg + Dextromethorphani hydrobromidum 15 mg
Actilyse 10;Alteplasum;Ludzki;;;10 mg;Proszek i rozpuszczalnik do sporządzania roztworu do infuzji;Alteplasum 10 mg
Actilyse 20;Alteplasum;Ludzki;;;20 mg;Proszek i rozpuszczalnik do sporządzania roztworu do infuzji;Alteplasum 20 mg
Vaminolact;Preparat złożony;Ludzki;;;-;Roztwór do infuzji;
Erdomed;Erdosteinum;Ludzki;;;35 mg/ml;Proszek do sporządzania zawiesiny doustnej;Erdosteinum 35 mg/ml
Actilyse 50;Alteplasum;Ludzki;;;50 mg;Proszek i rozpuszczalnik do sporządzania roztworu do infuzji;Alteplasum 50 mg
Addamel N;Roztwór pierwiastków śladowych;Ludzki;;;;Koncentrat do sporządzania roztworu do infuzji;Roztwór pierwiastków śladowych
Addiphos;Kalii dihydrogenophosphas + Dinatrii phosphas dihydricus + Kalii hydroxidum;Ludzki;;;(170,1 mg + 133,5 mg + 14 mg)/ml;Koncentrat do sporządzania roztworu do infuzji;Kalii dihydrogenophosphas 170.1 mg/ml + Dinatrii phosphas dihydricus 133.5 mg/ml + Kalii hydroxidum 14 mg/ml
Ascorvita;Acidum ascorbicum;Ludzki;;;1000 mg;Tabletki musujące;Acidum ascorbicum 1000 mg
Adenocor;Adenosinum;Ludzki;;;3 mg/ml;Roztwór do wstrzykiwań;Adenosinum 6 mg
Afronis;Preparat złożony;Ludzki;;;-;Płyn do stosowania na skórę;Levomentholum 0.2 g + Acidum boricum 3 g + Thymolum 0.05 g + Resorcinolum 2 g
Aescin;Escinum;Ludzki;;;20 mg;Tabletki powlekane;Escinum 20 mg
Aescin;Escinum + Diethylamini salicylas + Heparinum;Ludzki;;;(20 mg + 50 mg + 50 j.m.)/g;Żel;Escinum 2 g + Diethylamini salicylas 5 g + Heparinum natricum 5000 j.m.
Aesculan;Hippocastani corticis extractum siccum + Lidocaini hydrochloridum;Ludzki;;;(62,5 mg + 5 mg)/g;Maść doodbytnicza;Lidocaini hydrochloridum monohydricum 50 mg + Hippocastani corticis extractum siccum (40-90:1), ekstrahent - metanol 90% (v/v) + Lidocaini hydrochloridum 5 mg
Aethylum chloratum Filofarm;Ethylis chloridum;Ludzki;;;70 g;Aerozol;Ethylis chloridum 70 g
Aflegan;Ambroxoli hydrochloridum;Ludzki;;;7,5 mg/ml;Roztwór do wstrzykiwań;Ambroxoli hydrochloridum 7.5 mg
Afrin;Oxymetazolini hydrochloridum;Ludzki;;;500 mcg/ml;Aerozol do nosa, roztwór;Oxymetazolini hydrochloridum 0.5 mg/ml
Agapurin;Pentoxifyllinum;Ludzki;;;100 mg;Tabletki drażowane;Pentoxifyllinum 100 mg
Agiolax;Plantaginis ovatae semen et testa + Sennae angustifoliae fructus;Ludzki;;;15 mg sennozydów/5 g;Granulat;Sennae fructus 6,74g-13,15g + Plantaginis ovatae semen 52 g + Plantaginis ovatae semen 2.2 g
Akineton;Biperideni hydrochloridum;Ludzki;;;5 mg/ml;Roztwór do wstrzykiwań;Biperideni lactas 5 mg
Akineton;Biperideni hydrochloridum;Ludzki;;;2 mg;Tabletki;Biperideni hydrochloridum 2 mg
Aknemycin;Erythromycinum;Ludzki;;;20 mg/g;Maść;Erythromycinum + Erythromycinum -
Aknemycin;Erythromycinum;Ludzki;;;20 mg/g;Płyn do stosowania na skórę;Erythromycinum 0,2 g/10 g
Akneroxid 10;Benzoylis peroxidum;Ludzki;;;100 mg/g;Żel;Benzoylis peroxydum 10 g
Akneroxid 5;Benzoylis peroxidum;Ludzki;;;50 mg/g;Żel;Benzoylis peroxydum 5 g
Aksoderm;Retinoli palmitas;Ludzki;;;400 j.m./g;Maść;Retinoli palmitas 40000 j.m.
Alantan-Plus;Allantoinum + Dexpanthenolum;Ludzki;;;(20 mg + 50 mg)/g;Krem;Allantoinum 2 g/100 g + Dexpanthenolum 10 g/100 g (50% roztwór pantenolu w glikolu propylenowym)
Alantan-Plus;Allantoinum + Dexpanthenolum;Ludzki;;;(20 mg + 50 mg)/g;Maść;Dexpanthenolum 50 mg + Allantoinum 20 mg
Alantavit;Allantoinum + Cholecalciferolum + Retinolum;Ludzki;;;(10 mg + 500 j.m. + 1000 j.m.)/g;Maść;Allantoinum 10 mg + Vitaminum A 1000 j.m. + cholekalcyferol 500 j.m.
Cipropol;Ciprofloxacinum;Ludzki;;;250 mg;Tabletki powlekane;Ciprofloxacini hydrochloridum 291.5 mg
Alcaine;Proxymetacaini hydrochloridum;Ludzki;;;5 mg/ml;Krople do oczu, roztwór;Proxymetacaini hydrochloridum 5 mg
Alcep;Allii cepae extractum;Ludzki;;;949 mg/5 ml;Syrop;Allii cepae extractum 15 g
Aldactone;Kalii canrenoas;Ludzki;;;20 mg/ml;Roztwór do wstrzykiwań;Kalii canrenoas 200 mg
Alexan;Cytarabinum;Ludzki;;;20 mg/ml;Roztwór do wstrzykiwań;Cytarabinum 20 mg/1 ml
Alexan;Cytarabinum;Ludzki;;;50 mg/ml;Roztwór do infuzji;Cytarabinum 50,000 mg/ml
Alka-Prim;Acidum acetylsalicylicum;Ludzki;;;330 mg;Tabletki musujące;Acidum acetylsalicylicum 330 mg
Alka-Seltzer;Acidum acetylsalicylicum;Ludzki;;;324 mg;Tabletki musujące;Acidum acetylsalicylicum 324 mg
Alkeran;Melphalanum;Ludzki;;;2 mg;Tabletki powlekane;Melphalanum 2 mg
Tysabri;Natalizumabum;Ludzki;;;300 mg;Koncentrat do sporządzania roztworu do infuzji;Natalizumabum 300 mg
Allergovit;Alergoidy pyłków roślin;Ludzki;;;"dawki do leczenia początkowego: stężenie A - 1000 TU/ml, stężenie B - 10 000 TU/ml; dawka do leczenia podtrzymującego: stężenie B - 10 000 TU/ml";Zawiesina do wstrzykiwań;"Pojedyncze alergoidy pyłków roślin dawki do leczenia początkowego: stężenie A - 1000 TU/ml, stężenie B - 10 000 TU/ml; dawka do leczenia podtrzymującego: stężenie B - 10 000 TU/ml"
Roztwory do testów punktowych;Wyciągi alergenowe;Ludzki;;;-;Roztwór do skórnych prób punktowych;Wyciągi alergenowe zgodnie z załącznikiem nr 1
Alliofil;Allii sativi bulbus + Urticae folium;Ludzki;;;200 mg + 53,5 mg;Tabletka dojelitowa;Urticae folium 53.5 mg + Allii sativi bulbus 200 mg
Allupol;Allopurinolum;Ludzki;;;100 mg;Tabletki;Allopurinolum 100 mg
Alfadiol;Alfacalcidolum;Ludzki;;;0,25 mcg;Kapsułki miękkie;Alfacalcidolum 0.00025 mg
Alfadiol;Alfacalcidolum;Ludzki;;;1 mcg;Kapsułki miękkie;Alfacalcidolum 0.001 mg
Alpicort E;Prednisolonum + Estradiolum + Acidum salicylicum;Ludzki;;;(2 mg + 0,05 mg + 4 mg)/ml;Płyn na skórę;Estradioli benzoas 0,005 g/100 ml + Acidum salicylicum 0,4 g/100 ml + Prednisolonum 0,2 g/100 ml
Alpicort;Prednisolonum + Acidum salicylicum;Ludzki;;;(2 mg + 4 mg)/ml;Płyn na skórę;Prednisolonum 0,2 g/100 ml + Acidum salicylicum 0,4 g/100 ml
Aroma-Activ;Preparat złożony;Ludzki;Analgol;;-;Maść;Juniperi fructus 0.5 g + Camphorum 1 g + Mentholum 1 g + Pini sylvestris aetheroleum 0.5 g + Terebinthini aetheroleum ab  pinum pinastrum 0.5 g
Altacet;Aluminii acetotartras;Ludzki;;;1000 mg;Tabletki;Aluminii acetotartras 1000 mg + Aluminii acetotartras 100 mg
Alugastrin;Dihydroxyaluminii natrii carbonas;Ludzki;;;340 mg;Tabletki do rozgryzania i żucia;Dihydroxyaluminii natrii carbonas 340 mg
Alugastrin;Dihydroxyaluminii natrii carbonas;Ludzki;;;1,02 g/15 ml;Zawiesina doustna;Dihydroxyaluminii natrii carbonas 1,02 g/15 ml
Alumag;Aluminii hydroxidum + Magnesii hydroxidum;Ludzki;;;200 mg + 200 mg;Tabletki;glinu tlenek uwodniony 200 mg + Magnesii hydricum 200 mg
Androcur;Cyproteroni acetas;Ludzki;;;50 mg;Tabletki;Cyproteroni acetas 50 mg
Ambrohexal;Ambroxoli hydrochloridum;Ludzki;;;7,5 mg/ml;Roztwór do wstrzykiwań;Ambroxoli hydrochloridum 7.5 mg/ml
Ambroksol Orifarm;Ambroxoli hydrochloridum;Ludzki;Ambroksol Takeda;;15 mg/5 ml;Syrop;Ambroxoli hydrochloridum do 15 ml
Ambroksol Orifarm;Ambroxoli hydrochloridum;Ludzki;Ambroksol Takeda;;30 mg/5 ml;Syrop;Ambroxoli hydrochloridum 600 mg (roztwór) 0,9 mg/15 ml
Ambrosol Teva;Ambroxoli hydrochloridum;Ludzki;;;15 mg/5 ml;Syrop;Ambroxoli hydrochloridum 15,0 mg/ 5 ml
Aminomel 10 E;Produkt złożony;Ludzki;;;;Roztwór do infuzji;Aminokwasy i elektrolity
Aminomel 12,5 E;Produkt złożony;Ludzki;;;;Roztwór do infuzji;Aminokwasy i elektrolity
Aminomel Nephro;Preparat złożony;Ludzki;;;-;Roztwór do infuzji;
Aminoplasmal Hepa 10%;Produkt złożony;Ludzki;;;;Roztwór do infuzji;Leucinum 13.6 g + Lysini acetas 10.6 g + Methioninum 1.2 g + Isoleucinum 8.8 g + Phenylalaninum 1.6 g + Threoninum 4.6 g + Tryptophanum 1.5 g + Valinum 10.6 g + Arginina 8.8 g + Histidinum 4.7 g + Glicyna 6.3 g + Alaninum 8.3 g + Acidum asparaginicum 2.5 g + asparagina jednowodna 0.55 g + Acetylcysteinum 0.8 g + Glutamic acid 5.7 g + Ornithini hydrochloridum 1.66 g + Serinum 3.7 g + Acetyltyrosinum 0.86 g
Aminosteril N-Hepa 8%;Preparat złożony;Ludzki;;;-;Roztwór do infuzji;L-izoleucyna 10.4 g/1000 ml + L-Leucyna 13.09 g + L-Lizyny octan 9.71 g + L-metionina 1.1 g + N-acetylo-L-cysteina 0.7 g + L-fenyloalanina 0.88 g + L-treonina 4.4 g + L-Tryptofan 0.7 g + L-walina 10.08 g + L-Arginina 10.72 g + L-Histydyna 2.8 g + Glicyna 5.82 g + L-Alanina 4.64 g + L-Prolina 5.73 g + L-Seryna 2.24 g
Amizepin;Carbamazepinum;Ludzki;;;200 mg;Tabletki;Carbamazepinum 200 mg
Acatar Acti Form;Phenylephrini hydrochloridum;Ludzki;;;12,2 mg;Kapsułki twarde;Phenylephrini hydrochloridum 12.2 mg
Beto 200 ZK;Metoprololi succinas;Ludzki;;;190 mg;Tabletki o przedłużonym uwalnianiu;
Amoksiklav;Amoxicillinum + Acidum clavulanicum;Ludzki;;;1000 mg + 200 mg;Proszek do sporządzania roztworu do wstrzykiwań i infuzji;Acidum clavulanicum 200 mg + Amoxicillinum natricum 1000 mg
Amoksiklav;Amoxicillinum + Acidum clavulanicum;Ludzki;;;250 mg + 125 mg;Tabletki powlekane;Amoxicillinum 250 mg + Acidum clavulanicum 125 mg
Amoksiklav;Amoxicillinum + Acidum clavulanicum;Ludzki;;;500 mg + 125 mg;Tabletki powlekane;kwas klawulanowy ( w postaci potasu klawulanianu) 125 mg + Amoxicillinum 500 mg
Amol;Produkt złożony;Ludzki;;;-;Płyn doustny, płyn na skórę;Menthae piperitae aetheroleum 0.24 g + Limonis aetheroleum 0.57 g + Cinnamomi cortex 0.24 g + Lavandulae aetheroleum 0.24 g + Citronellae aetheroleum 0.1 g 0,15- 0,2 mg Al3+ + Caryophylli aetheroleum 0.1 g do 0,25 ml + Mentholum 1.723 g
Amotaks;Amoxicillinum;Ludzki;;;500 mg;Kapsułki twarde;Amoxicillinum 585 mg
Amotaks;Amoxicillinum;Ludzki;;;1 g;Tabletki;Amoxicillinum 1.165 g
Ampicillin TZF;Ampicillinum;Ludzki;;;500 mg;Proszek do sporządzania roztworu do wstrzykiwań;Ampicillinum trihydricum 500 mg
Ampicillin TZF;Ampicillinum;Ludzki;;;1 g;Proszek do sporządzania roztworu do wstrzykiwań;Ampicillinum trihydricum 1000 mg
Ampicillin TZF;Ampicillinum;Ludzki;;;2 g;Proszek do sporządzania roztworu do wstrzykiwań;Ampicillinum trihydricum 2000 mg
Anafranil;Clomipramini hydrochloridum;Ludzki;;;10 mg;Tabletki powlekane;Clomipramini hydrochloridum 10 mg
Anafranil;Clomipramini hydrochloridum;Ludzki;;;25 mg;Tabletki powlekane;Clomipramini hydrochloridum 25 mg
Anafranil SR 75;Clomipramini hydrochloridum;Ludzki;;;75 mg;Tabletki powlekane o przedłużonym uwalnianiu;Clomipramini hydrochloridum 75 mg
Parvoerysin;Szczepionka przeciw parwowirozie i różycy świń, inaktywowana;Weterynaryjny;;świnia;"-Inaktywowany parwowirus świński CAPM V198, szczep S-27 nie mniej niż 4 log2 HI *);-Inaktywowany szczep 2-64 Erysipelothrix rhusiopathiae, serotyp 2a nie mniej niż 1 RP**);-Inaktywowany szczep 2-5 Erysipelothrix rhusiopathiae, serotyp 2a nie mniej niż 1 RP**);-Inaktywowany szczep 1-203 Erysipelothrix rhusiopathiae, serotyp 1a nie mniej niż 1 RP**);-Inaktywowany szczep 2-II Erysipelothrix rhusiopathiae, serotyp 2a nie mniej niż 1 RP**);*) Miano przeciwciał HI w surowicy krwi świnki morskiej po zastosowaniu 1/4 dawki szczepionki**) RP miano względem standardu stosowanego w badaniach skuteczności szczepionki nadocelowych gatunkach zwierząt zgodnie z wymaganiami określonymi w monografii Ph.Eur.";Emulsja do wstrzykiwań; 1 RP/2 ml - +  1 RP/2 ml - +  1 RP/2 ml - +  1 RP/2 ml - + Inaktywowany parwowirus świński CAPM V198, szczep S-27 nie mniej niż 4 log2 HI *) 0 Brak danych/2 ml -
Anapran;Naproxenum natricum;Ludzki;;;275 mg;Tabletki powlekane;Naproxenum natricum 275 mg
Anapran;Naproxenum natricum;Ludzki;;;550 mg;Tabletki powlekane;Naproxenum natricum 550 mg
Szczepionka tężcowa adsorbowana (T);Vaccinum tetani adsorbatum Szczepionka przeciw tężcowi, adsorbowana;Ludzki;;;"nie mniej niż 40 j.m. toksoidu tężcowego/0,5 ml; 1 dawka (0,5 ml)";Zawiesina do wstrzykiwań;Toksoid tężcowy nie mniej niż 40 j.m.
Ancotil;Flucitosinum;Ludzki;;;10 mg/ml;Roztwór do infuzji;Flucitosinum 10 mg
Fertavid;Follitropinum beta;Ludzki;;;50 j.m./0,5 ml;Roztwór do wstrzykiwań;Follitropinum beta 50 j.m./ml
Rennie Antacidum;Magnesii subcarbonas + Calcii carbonas;Ludzki;;;680 mg + 80 mg;Tabletki do ssania;Magnesii subcarbonas 80 mg + Calcii carbonas 680 mg
Anticol;Disulfiramum;Ludzki;;;500 mg;Tabletki;Disulfiramum 500 mg
Antidral;Aluminii chloridum;Ludzki;;;100 mg/g;Płyn na skórę;Aluminii chloridum 100 mg/1 g
Antithrombin III NF Takeda;Antithrombinum III humanum densatum;Ludzki;"Antithrombin III NF Baxalta 
Antithrombin III NF Shire 
Antithrombin III NF Baxter";;"50 j.m./ml; 500 j.m.";Proszek i rozpuszczalnik do sporządzania roztworu do infuzji;"Antithrombinum humanum III 50 j.m./ml; 500 j.m."
Zibor;Bemiparinum natricum;Ludzki;;;25000 j.m. anty Xa/ml;Roztwór do wstrzykiwań;Bemiparinum natricum 25000 j.m. anty Xa/ml
AviPro Salmonella Duo;Szczepionka przeciw zakażeniom Salmonella enteritidis i Salmonella typhimurium,`   żywa;Weterynaryjny;;"kaczka 
kura 
Indyk";Żywe atenuowane bakterie Salmonella Enteritidis, szczep Sm24/Rif12/Ssq,nie mniej niż 1 x 10^8 CFU*, nie więcej niż 6 x 10^8 CFU*Żywe atenuowane bakterie Salmonella Typhimurium, szczep Nal2/Rif9/Rtt,nie mniej niż1 x 10^8 CFU*, nie więcej niż 6 x 10^8 CFU**CFU – jednostki tworzące kolonie;Liofilizat do podania w wodzie do picia;Żywe atenuowane bakterie Salmonella enteritidis, szczep Sm24/Rif12/Ssq 20 ml + Żywe atenuowane Salmonella typhimurium, szczep Nal2/Rif9/Rtt 20 ml
Antypot;Acidum boricum + Acidum salicylicum;Ludzki;;;(100 mg + 10 mg)/g;Puder;Acidum salicylicum 10 mg/g + Acidum boricum 100 mg/g
Carboplatin Pfizer;Carboplatinum;Ludzki;;;10 mg/ml;Roztwór do wstrzykiwań;Carboplatinum 10 mg
Sulpiryd Teva;Sulpiridum;Ludzki;;;50 mg;Kapsułki twarde;Sulpiridum 50 mg
Apap;Paracetamolum;Ludzki;;;500 mg;Tabletki powlekane;Paracetamolum 500 mg
Aphtin Aflofarm;Natrii tetraboras;Ludzki;;;200 mg/g;Płyn do stosowania w jamie ustnej;Borax 2 g (w 10 g)
Aphtin;Natrii tetraboras;Ludzki;;;200 mg/g;Roztwór do stosowania w jamie ustnej;Borax 200 mg/g
Aphtin;Natrii tetraboras;Ludzki;;;200 mg/g;Płyn do stosowania w jamie ustnej;Sodu czteroboran 20 g
Aphtin;Natrii tetraboras;Ludzki;;;200 mg/g;Płyn do stosowania w jamie ustnej;Borax 200 mg/g
Aphtin;Natrii tetraboras;Ludzki;;;200 mg/g;Płyn do stosowania w jamie ustnej;Borax 20 g
Apitussic;Sulfogaiacolum;Ludzki;;;52 mg/5 ml;Syrop;Ziołomiód sosnowy 76 g + Natrii benzoas 0.1 g + Sulfogaiacolum 0.8 g
Aqua pro injectione Polpharma;Aqua pro iniectione;Ludzki;;;;Rozpuszczalnik do sporządzania leków parenteralnych;Aqua pro injectione
Arduan;Pipecuronii bromidum;Ludzki;;;4 mg;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;Pipecuronii bromidum 4 mg
Arechin;Chloroquinum;Ludzki;;;250 mg;Tabletki;Chloroquini phosphas 250 mg
Argol Essenza Balsamica;Preparat ziołowy;Ludzki;;;-;Płyn doustny, do sporządzania inhalacji parowej i na skórę;Thymi aetheroleum 0.24 g + Menthae piperitae aetheroleum 0.375 g + Limonis aetheroleum 0.29 g + Myristicae aetheroleum 0.26 g + Cinnamoni zeylanici corticis aetheroleum 0.465 g + Mentholum 1.5 g + Caryophylli aetheroleum 0.29 g + Coriandri aetheroleum 0.24 g + Melissae aetheroleum 0.34 g
